blog,title,summary_html,image,tag,subhead,imgs,Preview Image,image root,Images,Date
journal,Instagram Favourites,11/10/15,https://dl.dropboxusercontent.com/u/65994410/blogs/Social_11-10-15_thumb.jpg,social,"The #PaulAndrew YULIN peep toe boot stands 105mm tall on a lacquered red heel, in laser cut calf inspired by carved wooden motifs.","Social_11-10-15_1.jpg,Social_11-10-15_2.jpg,Social_11-10-15_3.jpg",Social_11-10-15_thumb.jpg,,,11/10/15
journal,Instagram Favourites,11/11/15,https://dl.dropboxusercontent.com/u/65994410/blogs/Social_11-11-15_thumb.jpg,social,The #PaulAndrew MANHATTAN sculpted pump in Green Tea Patent.,"Social_11-11-15_1.jpg,Social_11-11-15_2.jpg,Social_11-11-15_3.jpg",Social_11-11-15_thumb.jpg,,,11/11/15
journal,Instagram Favourites,11/8/15,https://dl.dropboxusercontent.com/u/65994410/blogs/Social_11-8-15_thumb.jpg,social,The perfect point. The 55mm #PaulAndrew KIMURA pump in Cobalt Suede.,"Social_11-8-15_1.jpg,Social_11-8-15_2.jpg,Social_11-8-15_3.jpg",Social_11-8-15_thumb.jpg,,,11/8/15
journal,Instagram Favourites,10/23/15,https://dl.dropboxusercontent.com/u/65994410/blogs/Social_10-23-15_thumb.jpg,social,The perfect pink in support of the amazing community that is raising #breastcancerawareness around the world this month.,"Social_10-23-15_1.jpg,Social_10-23-15_2.jpg,Social_10-23-15_3.jpg",Social_10-23-15_thumb.jpg,,,10/23/15
journal,Instagram Favourites,11/1/15,https://dl.dropboxusercontent.com/u/65994410/blogs/Social_11-1-15_thumb.jpg,social,Blue suede #tassels with metallic details on the #PaulAndrew TIANJIN wedge.,"Social_11-1-15_1.jpg,Social_11-1-15_2.jpg,Social_11-1-15_3.jpg",Social_11-1-15_thumb.jpg,,,11/1/15
journal,Instagram Favourites,10/19/15,https://dl.dropboxusercontent.com/u/65994410/blogs/Social_10_19_15_thumb.jpg,social,The gorgeous Olivia Wilde wears the #PaulAndrew MANHATTAN PLATFORM in Dragon Red patent leather.,"Social_10_19_15_1.jpg,Social_10-19-15_2.jpg,Social_10-19-15-3.jpg",Social_10_19_15_thumb.jpg,,,10/19/15
journal,Footwear News,7/1/15,https://dl.dropboxusercontent.com/u/65994410/blogs/press-fn-2015-7-thumb.jpg,press,"""Prince andrew: he's the stylish, ambitious man of the moment. why a prolific Paul Andrew is destined for stardom.""","press-fn-2015-7-1.jpg,press-fn-2015-7-2.jpg,press-fn-2015-7-3.jpg,press-fn-2015-7-4.jpg,press-fn-2015-7-5.jpg",press-fn-2015-7-thumb.jpg,,,7/1/15
journal,Glamour,11/1/15,https://dl.dropboxusercontent.com/u/65994410/blogs/press-glamour-2015-11-thumb.jpg,press,"""Sole man: you know your manolos, louboutins and choos. Now meet rising footwear icon paul andrew - and steal his advice on raising your shoe game.""","press-glamour-2015-11-1.jpg,press-glamour-2015-11-2.jpg",press-glamour-2015-11-thumb.jpg,,,11/1/15
journal,harper's bazaar,6/1/15,https://dl.dropboxusercontent.com/u/65994410/blogs/press-hb_2015-6-thumb.jpg,press,Featuring the Taos in cordovan suede.,press-hb_2015-6-1.jpg,press-hb_2015-6-thumb.jpg,,,6/1/15
journal,harper's bazaar,3/1/15,https://dl.dropboxusercontent.com/u/65994410/blogs/press-hb-2015-3-thumb.jpg,press,Featuring the Athena in black sport calf.,"press-hb-2015-3-1.jpg
press-hb-2015-3-2.jpg",press-hb-2015-3-thumb.jpg,"
",,3/1/15
journal,harper's bazaar china,10/1/15,"https://dl.dropboxusercontent.com/u/65994410/blogs/press-hb-china-2015-10-thumb.jpg
",press,,"press-hb-china-2015-10-1.jpg,press-hb-china-2015-10-2.jpg,press-hb-china-2015-10-3.jpg","press-hb-china-2015-10-thumb.jpg
",,,10/1/15
journal,people stylewatch,8/1/15,https://dl.dropboxusercontent.com/u/65994410/blogs/press-peoplestylewatch-2015-9-thumb.jpg,press,Featuring the chrysler sandal in balck and gold.,press-peoplestylewatch-2015-9-1.jpg,press-peoplestylewatch-2015-9-thumb.jpg,,,8/1/15
